XCoord,YCoord,OBJECTID,XCOORD,YCOORD,ID,ID2,X,Y,WHITE,HISP,BLWPOV,MEDINC,UPTOHIGH,INS,MEDICARE,MEDICAID,URBAN1,URBAN2,BORDER2,DISTANCE1,DISTANCE2,DISTANCE
1749301.41700000,7626484.70200000,1,1749301.417000,7626484.702000,1500000US484391234001,484391000000.000000,1749301.417000,7626484.702000,0.816589,0.404206,0.213296,4.702689,0.483066,0.693925,0.047897,0.218458,1,1,0,868.611507,868.611507,804.504194
1748972.47200000,7627191.89000000,2,1748972.472000,7627191.890000,1500000US484391234002,484391000000.000000,1748972.472000,7627191.890000,0.676976,0.191294,0.303887,4.271354,0.604396,0.742788,0.115385,0.218750,1,1,0,172.665048,172.665048,172.665048
1749888.91800000,7627436.41900000,3,1749888.918000,7627436.419000,1500000US484391236001,484391000000.000000,1749888.918000,7627436.419000,0.628429,0.198254,0.440318,4.240699,0.508711,0.808926,0.041841,0.242678,1,1,0,1112.709499,1112.709499,1112.709499
1747023.87300000,7617525.52400000,4,1747023.873000,7617525.524000,1500000US484391057032,484391000000.000000,1747023.873000,7617525.524000,0.589396,0.304562,0.253078,4.568096,0.461538,0.834155,0.011097,0.249692,1,1,0,2647.635766,2647.635766,2647.635766
1745852.97300000,7617624.15100000,5,1745852.973000,7617624.151000,1500000US484391055024,484391000000.000000,1745852.973000,7617624.151000,0.597422,0.489007,0.500000,4.305093,0.759494,0.745262,0.024261,0.399545,1,1,0,3817.115042,3817.115042,3764.966001
1744656.11800000,7617755.38500000,6,1744656.118000,7617755.385000,1500000US484391055033,484391000000.000000,1744656.118000,7617755.385000,0.901408,0.003521,0.000000,4.804889,0.142857,0.847518,0.072695,0.000000,1,1,0,3181.697129,3181.697129,2584.636190
1743469.78400000,7617800.56600000,7,1743469.784000,7617800.566000,1500000US484391055035,484391000000.000000,1743469.784000,7617800.566000,0.678947,0.209774,0.028436,4.781906,0.286414,0.860902,0.032331,0.151880,1,1,0,2012.271696,2012.271696,1499.435342
1748047.34600000,7617928.18700000,8,1748047.346000,7617928.187000,1500000US484391110033,484391000000.000000,1748047.346000,7617928.187000,0.896088,0.358191,0.130719,4.689824,0.471731,0.764059,0.113692,0.114914,1,1,0,1826.176390,1826.176390,1826.176390
1749470.37000000,7617983.01500000,9,1749470.370000,7617983.015000,1500000US484391110031,484391000000.000000,1749470.370000,7617983.015000,0.691568,0.277367,0.053215,4.873931,0.346939,0.840976,0.039941,0.035503,1,1,0,997.167774,997.167774,997.167774
1745365.84200000,7618053.64200000,10,1745365.842000,7618053.642000,1500000US484391055023,484391000000.000000,1745365.842000,7618053.642000,0.972973,0.170270,0.000000,4.849217,0.250474,0.895946,0.000000,0.208108,1,1,0,3851.163917,3851.163917,3192.439274
1748648.02200000,7618173.01700000,11,1748648.022000,7618173.017000,1500000US484391110032,484391000000.000000,1748648.022000,7618173.017000,0.901989,0.348011,0.040486,4.940765,0.235955,0.811080,0.072443,0.014205,1,1,0,1524.652403,1524.652403,1524.652403
1746585.87200000,7618252.40900000,12,1746585.872000,7618252.409000,1500000US484391057031,484391000000.000000,1746585.872000,7618252.409000,0.846927,0.258274,0.194805,4.841597,0.353175,0.809693,0.091608,0.074468,1,1,0,3281.974987,3281.974987,3281.974987
1743952.26400000,7618259.58000000,13,1743952.264000,7618259.580000,1500000US484391055032,484391000000.000000,1743952.264000,7618259.580000,0.814249,0.100509,0.113208,4.931066,0.405493,0.928753,0.061069,0.057252,1,1,0,2429.530844,2429.530844,1766.036001
1747399.36600000,7618291.34000000,14,1747399.366000,7618291.340000,1500000US484391057013,484391000000.000000,1747399.366000,7618291.340000,0.751068,0.629652,0.141667,4.634890,0.717647,0.624771,0.020744,0.242831,1,1,0,2568.824188,2568.824188,2568.824188
1744353.23100000,7618511.33200000,15,1744353.231000,7618511.332000,1500000US484391055031,484391000000.000000,1744353.231000,7618511.332000,0.864742,0.231003,0.138889,4.839308,0.393411,0.889058,0.062310,0.019757,1,1,0,2837.054439,2837.054439,2129.313675
1743480.22700000,7618570.95000000,16,1743480.227000,7618570.950000,1500000US484391055054,484391000000.000000,1743480.227000,7618570.950000,0.728314,0.166121,0.182045,4.572093,0.272397,0.814877,0.022823,0.057481,1,1,0,1974.170777,1974.170777,1254.316666
1745861.98900000,7618737.78400000,17,1745861.989000,7618737.784000,1500000US484391055025,484391000000.000000,1745861.989000,7618737.784000,0.931009,0.091503,0.014354,4.842385,0.152815,0.932462,0.061002,0.021060,1,1,0,4140.032071,4140.032071,3635.429888
1749127.20100000,7618849.99400000,18,1749127.201000,7618849.994000,1500000US484391058001,484391000000.000000,1749127.201000,7618849.994000,0.961012,0.572181,0.059761,4.537416,0.351931,0.826133,0.000000,0.285564,1,1,0,1917.070763,1917.070763,1917.070763
1744751.58500000,7618912.39900000,19,1744751.585000,7618912.399000,1500000US484391055022,484391000000.000000,1744751.585000,7618912.399000,0.947998,0.309026,0.000000,4.846288,0.403133,0.772591,0.052663,0.037702,1,1,0,3283.889052,3283.889052,2538.308075
1748184.38200000,7618925.61700000,20,1748184.382000,7618925.617000,1500000US484391058003,484391000000.000000,1748184.382000,7618925.617000,0.732034,0.623630,0.211268,4.703773,0.320000,0.890378,0.000000,0.203410,1,1,0,2403.309757,2403.309757,2403.309757
1747277.86500000,7619124.86400000,21,1747277.865000,7619124.864000,1500000US484391057011,484391000000.000000,1747277.865000,7619124.864000,0.857286,0.204020,0.014118,4.786368,0.552058,0.793970,0.125628,0.027136,1,1,0,3163.149366,3163.149366,3163.149366
1746411.29100000,7619175.56300000,22,1746411.291000,7619175.563000,1500000US484391057012,484391000000.000000,1746411.291000,7619175.563000,0.939709,0.135135,0.083130,4.851857,0.143670,0.852391,0.063410,0.063410,1,1,0,3876.976132,3876.976132,3876.976132
1743771.56700000,7619331.89000000,23,1743771.567000,7619331.890000,1500000US484391055053,484391000000.000000,1743771.567000,7619331.890000,0.950355,0.156028,0.135036,4.875061,0.257796,0.783688,0.055851,0.076241,1,1,0,2469.304267,2469.304267,1691.365569
1743307.04300000,7619332.23100000,24,1743307.043000,7619332.231000,1500000US484391055141,484391000000.000000,1743307.043000,7619332.231000,0.607754,0.343216,0.247331,4.501210,0.421053,0.690992,0.058153,0.066135,1,1,0,2055.521727,2055.521727,1281.713001
1742707.62800000,7619421.50300000,25,1742707.628000,7619421.503000,1500000US484391055142,484391000000.000000,1742707.628000,7619421.503000,0.655610,0.279024,0.118644,4.600112,0.136986,0.653962,0.000000,0.130391,1,1,0,1623.690831,1623.690831,916.379353
1748250.27500000,7619426.41400000,26,1748250.275000,7619426.414000,1500000US484391058002,484391000000.000000,1748250.275000,7619426.414000,0.949389,0.616056,0.277487,4.475308,0.536388,0.525305,0.000000,0.202443,1,1,0,2788.172818,2788.172818,2788.172818
1745264.55400000,7619479.96500000,27,1745264.554000,7619479.965000,1500000US484391055021,484391000000.000000,1745264.554000,7619479.965000,0.833143,0.040000,0.137681,4.923912,0.256693,0.782857,0.000000,0.128000,1,1,0,3919.712368,3919.712368,3150.526930
1746711.15200000,7619878.42100000,28,1746711.152000,7619878.421000,1500000US484391056004,484391000000.000000,1746711.152000,7619878.421000,0.782918,0.270463,0.021277,4.826612,0.325960,0.912656,0.071301,0.114973,1,1,0,4093.195718,4093.195718,4093.195718
1744656.73400000,7619903.53400000,29,1744656.734000,7619903.534000,1500000US484391055051,484391000000.000000,1744656.734000,7619903.534000,0.432432,0.271330,0.262611,4.582722,0.627251,0.638050,0.033386,0.124006,1,1,0,3515.024822,3515.024822,2737.529753
1742088.91200000,7619952.02500000,30,1742088.912000,7619952.025000,1500000US484391055132,484391000000.000000,1742088.912000,7619952.025000,0.499498,0.261785,0.159420,4.480611,0.416585,0.691575,0.025075,0.198596,1,1,0,1735.968795,1735.968795,1313.886871
1748078.11700000,7619963.81000000,31,1748078.117000,7619963.810000,1500000US484391048023,484391000000.000000,1748078.117000,7619963.810000,0.631836,0.470703,0.585799,4.225929,0.572668,0.530273,0.000000,0.407227,1,1,0,3342.842561,3342.842561,3342.842561
1744136.05100000,7620071.44600000,32,1744136.051000,7620071.446000,1500000US484391055052,484391000000.000000,1744136.051000,7620071.446000,0.977486,0.073171,0.000000,5.042036,0.028634,0.975610,0.095685,0.022514,1,1,0,3150.635713,3150.635713,2384.972368
1747469.98600000,7620076.85200000,33,1747469.986000,7620076.852000,1500000US484391048022,484391000000.000000,1747469.986000,7620076.852000,0.906296,0.647145,0.181592,4.628389,0.574578,0.608346,0.019766,0.210835,1,1,0,3755.144812,3755.144812,3755.144812
1745900.79000000,7620134.50400000,34,1745900.790000,7620134.504000,1500000US484391056003,484391000000.000000,1745900.790000,7620134.504000,0.989384,0.416136,0.140777,4.705864,0.354260,0.722930,0.023355,0.219745,1,1,0,4742.211967,4742.211967,3965.065568
1742886.11400000,7620530.75400000,35,1742886.114000,7620530.754000,1500000US484391055143,484391000000.000000,1742886.114000,7620530.754000,0.736842,0.224109,0.104683,4.622421,0.275862,0.662139,0.010187,0.047538,1,1,0,2604.910617,2604.910617,2001.350563
1746922.36400000,7620576.51700000,36,1746922.364000,7620576.517000,1500000US484391056001,484391000000.000000,1746922.364000,7620576.517000,0.915410,0.634754,0.090090,4.609509,0.634279,0.608525,0.051803,0.043934,1,1,0,4481.227682,4481.227682,4481.227682
1746310.88300000,7620744.52900000,37,1746310.883000,7620744.529000,1500000US484391056002,484391000000.000000,1746310.883000,7620744.529000,0.836018,0.632504,0.209901,4.600962,0.464327,0.739385,0.024890,0.121523,1,1,0,4998.328086,4998.328086,4593.146125
1744776.42200000,7620944.76800000,38,1744776.422000,7620944.768000,1500000US484391054043,484391000000.000000,1744776.422000,7620944.768000,0.945376,0.073246,0.059233,5.024621,0.083158,0.967101,0.064556,0.026691,1,1,0,4185.785354,4185.785354,3435.647834
1745429.65900000,7621291.28100000,39,1745429.659000,7621291.281000,1500000US484391054041,484391000000.000000,1745429.659000,7621291.281000,1.000000,0.000000,0.038123,5.122507,0.000000,0.970732,0.010976,0.000000,1,1,0,4913.568574,4913.568574,4156.542398
1744373.93000000,7621797.67800000,40,1744373.930000,7621797.678000,1500000US484391054042,484391000000.000000,1744373.930000,7621797.678000,0.933049,0.076689,0.150794,5.009663,0.057117,0.923920,0.018868,0.101035,1,1,0,4503.843631,4503.843631,3817.303672
1741982.33200000,7621916.70500000,41,1741982.332000,7621916.705000,1500000US484391054052,484391000000.000000,1741982.332000,7621916.705000,0.693130,0.141985,0.347594,4.400486,0.421245,0.808307,0.146965,0.000000,1,1,0,3635.014645,3635.014645,3281.415695
